Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
267148.0	188205.0	2000	400	125.0	0.01

267148.0	174949.0	3000	400	125.0	0.1

267148.0	211712.0	4000	400	125.0	1.0

267148.0	195660.0	1000	100	1.0	0.001

267148.0	186321.0	2000	100	1.0	0.01

267148.0	158016.0	3000	100	1.0	0.1

267148.0	221506.0	4000	100	1.0	1.0

267148.0	210414.0	1000	200	5.0	0.001

267148.0	187562.0	2000	200	5.0	0.01

267148.0	197656.0	3000	200	5.0	0.1

267148.0	222875.0	4000	200	5.0	1.0

267148.0	232976.0	1000	300	25.0	0.001

267148.0	178557.0	2000	300	25.0	0.01

267148.0	179793.0	3000	300	25.0	0.1

267148.0	209446.0	4000	300	25.0	1.0

267148.0	201954.0	1000	400	125.0	0.001

267148.0	192664.0	2000	400	125.0	0.01

267148.0	164843.0	3000	400	125.0	0.1

267148.0	203545.0	4000	400	125.0	1.0

267148.0	193831.0	1000	100	1.0	0.001

267148.0	207564.0	2000	100	1.0	0.01

267148.0	170231.0	3000	100	1.0	0.1

267148.0	215864.0	4000	100	1.0	1.0

267148.0	207506.0	1000	200	5.0	0.001

267148.0	181242.0	2000	200	5.0	0.01

267148.0	174357.0	3000	200	5.0	0.1

267148.0	215087.0	4000	200	5.0	1.0

267148.0	210933.0	1000	300	25.0	0.001

267148.0	275970.0	2000	300	25.0	0.01

267148.0	178204.0	3000	300	25.0	0.1

267148.0	232227.0	4000	300	25.0	1.0

267148.0	213574.0	1000	400	125.0	0.001

267148.0	205854.0	2000	400	125.0	0.01

267148.0	178765.0	3000	400	125.0	0.1

267148.0	234076.0	4000	400	125.0	1.0

267148.0	201351.0	1000	100	1.0	0.001

267148.0	187998.0	2000	100	1.0	0.01

267148.0	198498.0	3000	100	1.0	0.1

267148.0	220285.0	4000	100	1.0	1.0

267148.0	209183.0	1000	200	5.0	0.001

267148.0	189730.0	2000	200	5.0	0.01

267148.0	198261.0	3000	200	5.0	0.1

267148.0	224600.0	4000	200	5.0	1.0

267148.0	199965.0	1000	300	25.0	0.001

267148.0	181528.0	2000	300	25.0	0.01

267148.0	266310.0	3000	300	25.0	0.1

267148.0	225934.0	4000	300	25.0	1.0

267148.0	213178.0	1000	400	125.0	0.001

267148.0	203835.0	2000	400	125.0	0.01

267148.0	181859.0	3000	400	125.0	0.1

267148.0	198666.0	4000	400	125.0	1.0

267148.0	214930.0	1000	100	1.0	0.001

267148.0	183936.0	2000	100	1.0	0.01

267148.0	175581.0	3000	100	1.0	0.1

267148.0	240811.0	4000	100	1.0	1.0

267148.0	222983.0	1000	200	5.0	0.001

267148.0	186533.0	2000	200	5.0	0.01

267148.0	191677.0	3000	200	5.0	0.1

267148.0	223994.0	4000	200	5.0	1.0

267148.0	198312.0	1000	300	25.0	0.001

267148.0	178581.0	2000	300	25.0	0.01

267148.0	176862.0	3000	300	25.0	0.1

267148.0	233384.0	4000	300	25.0	1.0

267148.0	211752.0	1000	400	125.0	0.001

267148.0	183353.0	2000	400	125.0	0.01

267148.0	185124.0	3000	400	125.0	0.1

267148.0	229481.0	4000	400	125.0	1.0

267148.0	202793.0	1000	100	1.0	0.001

267148.0	180763.0	2000	100	1.0	0.01

267148.0	196385.0	3000	100	1.0	0.1

267148.0	223244.0	4000	100	1.0	1.0

267148.0	193025.0	1000	200	5.0	0.001

267148.0	175152.0	2000	200	5.0	0.01

267148.0	186590.0	3000	200	5.0	0.1

267148.0	215551.0	4000	200	5.0	1.0

267148.0	210910.0	1000	300	25.0	0.001

267148.0	189970.0	2000	300	25.0	0.01

267148.0	196691.0	3000	300	25.0	0.1

267148.0	211794.0	4000	300	25.0	1.0

267148.0	205579.0	1000	400	125.0	0.001

267148.0	188658.0	2000	400	125.0	0.01

267148.0	165858.0	3000	400	125.0	0.1

267148.0	215829.0	4000	400	125.0	1.0

267148.0	213456.0	1000	100	1.0	0.001

267148.0	195455.0	2000	100	1.0	0.01

267148.0	191300.0	3000	100	1.0	0.1

267148.0	205197.0	4000	100	1.0	1.0

267148.0	204991.0	1000	200	5.0	0.001

267148.0	189911.0	2000	200	5.0	0.01

267148.0	204271.0	3000	200	5.0	0.1

267148.0	202925.0	4000	200	5.0	1.0

267148.0	221222.0	1000	300	25.0	0.001

267148.0	204109.0	2000	300	25.0	0.01

267148.0	178385.0	3000	300	25.0	0.1

267148.0	209856.0	4000	300	25.0	1.0

267148.0	191311.0	1000	400	125.0	0.001

267148.0	187444.0	2000	400	125.0	0.01

267148.0	197916.0	3000	400	125.0	0.1

267148.0	249528.0	4000	400	125.0	1.0

267148.0	208522.0	1000	100	1.0	0.001

267148.0	216117.0	2000	100	1.0	0.01

267148.0	174015.0	3000	100	1.0	0.1

267148.0	209061.0	4000	100	1.0	1.0

267148.0	205303.0	1000	200	5.0	0.001

267148.0	182173.0	2000	200	5.0	0.01

267148.0	183966.0	3000	200	5.0	0.1

267148.0	212944.0	4000	200	5.0	1.0

267148.0	222818.0	1000	300	25.0	0.001

267148.0	177760.0	2000	300	25.0	0.01

267148.0	186997.0	3000	300	25.0	0.1

267148.0	205160.0	4000	300	25.0	1.0

267148.0	200737.0	1000	400	125.0	0.001

267148.0	222870.0	2000	400	125.0	0.01

267148.0	177376.0	3000	400	125.0	0.1

267148.0	220336.0	4000	400	125.0	1.0

267148.0	192661.0	1000	100	1.0	0.001

267148.0	187222.0	2000	100	1.0	0.01

267148.0	178216.0	3000	100	1.0	0.1

267148.0	225687.0	4000	100	1.0	1.0

267148.0	190718.0	1000	200	5.0	0.001

267148.0	168566.0	2000	200	5.0	0.01

267148.0	226141.0	3000	200	5.0	0.1

267148.0	205611.0	4000	200	5.0	1.0

267148.0	237691.0	1000	300	25.0	0.001

267148.0	195028.0	2000	300	25.0	0.01

267148.0	198769.0	3000	300	25.0	0.1

267148.0	228906.0	4000	300	25.0	1.0

267148.0	196629.0	1000	400	125.0	0.001

267148.0	181120.0	2000	400	125.0	0.01

267148.0	184960.0	3000	400	125.0	0.1

267148.0	202201.0	4000	400	125.0	1.0

267148.0	200377.0	1000	100	1.0	0.001

267148.0	181718.0	2000	100	1.0	0.01

267148.0	179360.0	3000	100	1.0	0.1

267148.0	202655.0	4000	100	1.0	1.0

267148.0	209923.0	1000	200	5.0	0.001

267148.0	203216.0	2000	200	5.0	0.01

267148.0	188030.0	3000	200	5.0	0.1

267148.0	208980.0	4000	200	5.0	1.0

267148.0	185232.0	1000	300	25.0	0.001

267148.0	179556.0	2000	300	25.0	0.01

267148.0	173496.0	3000	300	25.0	0.1

267148.0	217797.0	4000	300	25.0	1.0

267148.0	197604.0	1000	400	125.0	0.001

267148.0	192531.0	2000	400	125.0	0.01

267148.0	177630.0	3000	400	125.0	0.1

267148.0	224816.0	4000	400	125.0	1.0

267148.0	208311.0	1000	100	1.0	0.001

267148.0	181908.0	2000	100	1.0	0.01

267148.0	179764.0	3000	100	1.0	0.1

267148.0	228216.0	4000	100	1.0	1.0

267148.0	220503.0	1000	200	5.0	0.001

267148.0	182952.0	2000	200	5.0	0.01

267148.0	187349.0	3000	200	5.0	0.1

267148.0	224035.0	4000	200	5.0	1.0

267148.0	199573.0	1000	300	25.0	0.001

267148.0	231450.0	2000	300	25.0	0.01

267148.0	210683.0	3000	300	25.0	0.1

267148.0	198337.0	4000	300	25.0	1.0

267148.0	219384.0	1000	400	125.0	0.001

267148.0	185646.0	2000	400	125.0	0.01

267148.0	172005.0	3000	400	125.0	0.1

267148.0	234866.0	4000	400	125.0	1.0

267148.0	217563.0	1000	100	1.0	0.001

267148.0	183394.0	2000	100	1.0	0.01

267148.0	161804.0	3000	100	1.0	0.1

267148.0	205669.0	4000	100	1.0	1.0

267148.0	206222.0	1000	200	5.0	0.001

267148.0	198284.0	2000	200	5.0	0.01

267148.0	184231.0	3000	200	5.0	0.1

267148.0	206017.0	4000	200	5.0	1.0

267148.0	205682.0	1000	300	25.0	0.001

267148.0	182316.0	2000	300	25.0	0.01

267148.0	176210.0	3000	300	25.0	0.1

267148.0	214518.0	4000	300	25.0	1.0

267148.0	207126.0	1000	400	125.0	0.001

267148.0	193833.0	2000	400	125.0	0.01

267148.0	173833.0	3000	400	125.0	0.1

267148.0	204371.0	4000	400	125.0	1.0

267148.0	194902.0	1000	100	1.0	0.001

267148.0	172249.0	2000	100	1.0	0.01

267148.0	175064.0	3000	100	1.0	0.1

267148.0	234265.0	4000	100	1.0	1.0

267148.0	219079.0	1000	200	5.0	0.001

267148.0	191666.0	2000	200	5.0	0.01

267148.0	183149.0	3000	200	5.0	0.1

267148.0	208598.0	4000	200	5.0	1.0

267148.0	207885.0	1000	300	25.0	0.001

267148.0	177922.0	2000	300	25.0	0.01

267148.0	192393.0	3000	300	25.0	0.1

267148.0	208339.0	4000	300	25.0	1.0

267148.0	213862.0	1000	400	125.0	0.001

267148.0	206259.0	2000	400	125.0	0.01

267148.0	181750.0	3000	400	125.0	0.1

267148.0	216975.0	4000	400	125.0	1.0

267148.0	191304.0	1000	100	1.0	0.001

267148.0	177241.0	2000	100	1.0	0.01

267148.0	176496.0	3000	100	1.0	0.1

267148.0	239625.0	4000	100	1.0	1.0

267148.0	224205.0	1000	200	5.0	0.001

267148.0	202647.0	2000	200	5.0	0.01

267148.0	174172.0	3000	200	5.0	0.1

267148.0	216519.0	4000	200	5.0	1.0

267148.0	215752.0	1000	300	25.0	0.001

267148.0	175255.0	2000	300	25.0	0.01

267148.0	254692.0	3000	300	25.0	0.1

267148.0	217313.0	4000	300	25.0	1.0

267148.0	206319.0	1000	400	125.0	0.001

267148.0	195246.0	2000	400	125.0	0.01

267148.0	173961.0	3000	400	125.0	0.1

267148.0	204180.0	4000	400	125.0	1.0

267148.0	222375.0	1000	100	1.0	0.001

267148.0	205098.0	2000	100	1.0	0.01

267148.0	220206.0	3000	100	1.0	0.1

267148.0	213799.0	4000	100	1.0	1.0

267148.0	203153.0	1000	200	5.0	0.001

267148.0	185896.0	2000	200	5.0	0.01

267148.0	166782.0	3000	200	5.0	0.1

267148.0	229006.0	4000	200	5.0	1.0

267148.0	234376.0	1000	300	25.0	0.001

267148.0	189744.0	2000	300	25.0	0.01

267148.0	177725.0	3000	300	25.0	0.1

267148.0	215811.0	4000	300	25.0	1.0

267148.0	190592.0	1000	400	125.0	0.001

267148.0	187180.0	2000	400	125.0	0.01

267148.0	171059.0	3000	400	125.0	0.1

267148.0	198076.0	4000	400	125.0	1.0

267148.0	283022.0	1000	100	1.0	0.001

267148.0	182427.0	2000	100	1.0	0.01

267148.0	177384.0	3000	100	1.0	0.1

267148.0	266089.0	4000	100	1.0	1.0

267148.0	221857.0	1000	200	5.0	0.001

267148.0	184419.0	2000	200	5.0	0.01

267148.0	178079.0	3000	200	5.0	0.1

267148.0	218548.0	4000	200	5.0	1.0

267148.0	254763.0	1000	300	25.0	0.001

267148.0	179955.0	2000	300	25.0	0.01

267148.0	176606.0	3000	300	25.0	0.1

267148.0	244553.0	4000	300	25.0	1.0

267148.0	207699.0	1000	400	125.0	0.001

267148.0	198609.0	2000	400	125.0	0.01

267148.0	183961.0	3000	400	125.0	0.1

267148.0	201128.0	4000	400	125.0	1.0

267148.0	219860.0	1000	100	1.0	0.001

267148.0	180393.0	2000	100	1.0	0.01

267148.0	183943.0	3000	100	1.0	0.1

267148.0	221138.0	4000	100	1.0	1.0

267148.0	216213.0	1000	200	5.0	0.001

267148.0	179319.0	2000	200	5.0	0.01

267148.0	160416.0	3000	200	5.0	0.1

